Nodes: 50000, Clusters: 100, DM_Build_s: -1.00, Clustering_s: 0.95, AvgRadius: 8.30, MaxRadius: 8.71, ViolationRate: 0.0%
Nodes: 100000, Clusters: 100, DM_Build_s: -1.00, Clustering_s: 1.97, AvgRadius: 8.27, MaxRadius: 9.21, ViolationRate: 0.0%
Nodes: 200000, Clusters: 100, DM_Build_s: -1.00, Clustering_s: 4.30, AvgRadius: 8.28, MaxRadius: 8.82, ViolationRate: 0.0%
Nodes: 500000, Clusters: 100, DM_Build_s: -1.00, Clustering_s: 13.17, AvgRadius: 8.25, MaxRadius: 8.58, ViolationRate: 0.0%
Nodes: 1000, Clusters: 100, DM_Build_s: -1.00, Clustering_s: 0.07, AvgRadius: 7.76, MaxRadius: 9.61, ViolationRate: 1.0%
Nodes: 2000, Clusters: 100, DM_Build_s: -1.00, Clustering_s: 0.19, AvgRadius: 7.89, MaxRadius: 8.91, ViolationRate: 0.0%
Nodes: 5000, Clusters: 100, DM_Build_s: -1.00, Clustering_s: 0.23, AvgRadius: 8.12, MaxRadius: 8.89, ViolationRate: 0.0%
Nodes: 10000, Clusters: 100, DM_Build_s: -1.00, Clustering_s: 0.24, AvgRadius: 8.15, MaxRadius: 8.99, ViolationRate: 0.0%
Nodes: 20000, Clusters: 100, DM_Build_s: -1.00, Clustering_s: 0.43, AvgRadius: 8.21, MaxRadius: 8.72, ViolationRate: 0.0%
Nodes: 50000, Clusters: 100, DM_Build_s: -1.00, Clustering_s: 1.05, AvgRadius: 8.28, MaxRadius: 8.98, ViolationRate: 0.0%
Nodes: 100000, Clusters: 100, DM_Build_s: -1.00, Clustering_s: 1.87, AvgRadius: 8.32, MaxRadius: 9.03, ViolationRate: 0.0%
Nodes: 200000, Clusters: 100, DM_Build_s: -1.00, Clustering_s: 4.54, AvgRadius: 8.31, MaxRadius: 8.55, ViolationRate: 0.0%
Nodes: 500000, Clusters: 100, DM_Build_s: -1.00, Clustering_s: 11.65, AvgRadius: 8.26, MaxRadius: 8.59, ViolationRate: 0.0%
Nodes: 1000, Clusters: 100, DM_Build_s: -1.00, Clustering_s: 0.10, AvgRadius: 7.64, MaxRadius: 9.66, ViolationRate: 1.0%
Nodes: 2000, Clusters: 100, DM_Build_s: -1.00, Clustering_s: 0.23, AvgRadius: 7.92, MaxRadius: 9.34, ViolationRate: 0.0%
Nodes: 5000, Clusters: 100, DM_Build_s: -1.00, Clustering_s: 0.21, AvgRadius: 8.10, MaxRadius: 9.38, ViolationRate: 0.0%
Nodes: 10000, Clusters: 100, DM_Build_s: -1.00, Clustering_s: 0.23, AvgRadius: 8.15, MaxRadius: 8.90, ViolationRate: 0.0%
Nodes: 20000, Clusters: 100, DM_Build_s: -1.00, Clustering_s: 0.53, AvgRadius: 8.24, MaxRadius: 9.20, ViolationRate: 0.0%
Nodes: 50000, Clusters: 100, DM_Build_s: -1.00, Clustering_s: 0.99, AvgRadius: 8.31, MaxRadius: 8.76, ViolationRate: 0.0%
Nodes: 100000, Clusters: 100, DM_Build_s: -1.00, Clustering_s: 2.05, AvgRadius: 8.29, MaxRadius: 8.56, ViolationRate: 0.0%
Nodes: 200000, Clusters: 100, DM_Build_s: -1.00, Clustering_s: 4.26, AvgRadius: 8.26, MaxRadius: 8.65, ViolationRate: 0.0%
Nodes: 500000, Clusters: 100, DM_Build_s: -1.00, Clustering_s: 12.88, AvgRadius: 8.27, MaxRadius: 8.79, ViolationRate: 0.0%
Nodes: 1000, Clusters: 10, DM_Build_s: -1.00, Clustering_s: 0.05, AvgRadius: 14.76, MaxRadius: 15.21, ViolationRate: 0.0%
Nodes: 1000, Clusters: 10, DM_Build_s: -1.00, Clustering_s: 0.05, AvgRadius: 14.71, MaxRadius: 15.64, ViolationRate: 0.0%
Nodes: 1000, Clusters: 100, DM_Build_s: -1.00, Clustering_s: 0.14, AvgRadius: 7.60, MaxRadius: 9.29, ViolationRate: 1.0%
Nodes: 2000, Clusters: 100, DM_Build_s: -1.00, Clustering_s: 0.13, AvgRadius: 7.90, MaxRadius: 9.24, ViolationRate: 0.0%
Nodes: 5000, Clusters: 100, DM_Build_s: -1.00, Clustering_s: 0.18, AvgRadius: 8.12, MaxRadius: 9.14, ViolationRate: 0.0%
Nodes: 10000, Clusters: 100, DM_Build_s: -1.00, Clustering_s: 0.26, AvgRadius: 8.18, MaxRadius: 9.02, ViolationRate: 0.0%
Nodes: 20000, Clusters: 100, DM_Build_s: -1.00, Clustering_s: 0.43, AvgRadius: 8.20, MaxRadius: 8.78, ViolationRate: 0.0%
